Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Diversity Spotlight (US Headquarters Only),Founded Date,Founded Date Precision,Number of Investments,Number of Diversity Investments,Number of Exits,Founders,Number of Employees,Funding Status,Last Funding Date,Last Funding Type,Transaction Name,Transaction Name URL,Acquired by,Acquired by URL,Announced Date,Announced Date Precision,Price,Price Currency,Price Currency (in USD),IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Last Leadership Hiring Date,Last Layoff Mention Date,Contact Job Departments,Number of Contacts
Phil Rivers Technology,https://www.crunchbase.com/organization/zheyuan-technology,"Artificial Intelligence (AI), Biopharma, Biotechnology, Health Care, Medical","Beijing, Beijing, China",Phil Rivers Technology is an AI pharmaceutical R&D solution provider.,,2015-01-01,year,,,,,51-100,Early Stage Venture,2022-07-07,Series A,,,,,,,,,,Private,,,,,,,
YOPI,https://www.crunchbase.com/organization/yopi,"Artificial Intelligence (AI), Fitness, Health Care, Wellness","Nir`am, HaDarom, Israel",YOPI is the first digital personal health and fitness instructor,,2017-07-20,day,,,,"Hemi Reem, Menachem Genut",1-10,Seed,2021-03-06,Grant,,,,,,,,,,Private,,,,,,,
HealWell24,https://www.crunchbase.com/organization/hwell24-plus-healthcare,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Internet, Medical","Mumbai, Maharashtra, India",HealWell24 is a healthcare marketplace and doctor patient network platform and connects patients to nearby doctors.,,2017-05-19,day,,,,"Chittaranjan Mishra, Dushyant Bhatt, J K, J K Singha, RK Ningthem Devi",11-50,M&A,2021-11-01,Series A,HealWell24 acquired by NFG Investments Ltd & Family Office,https://www.crunchbase.com/acquisition/nfg-investments-ltd-family-office-acquires-hwell24-plus-healthcare--29b7fc7c,NFG Investments Ltd & Family Office,https://www.crunchbase.com/organization/nfg-investments-ltd-family-office,2023-05-02,day,1500000,USD,1500000,Private,,,,,,,
Octopus.Health,https://www.crunchbase.com/organization/octopus-health,"Artificial Intelligence (AI), Health Care, Machine Learning","Tel Aviv, Tel Aviv, Israel",Octopus.Health is a patient engagement platform for proactive population health.,,2018-01-01,year,,,,Yoav Ariav,11-50,Seed,2019-10-01,Seed,,,,,,,,,,Private,,,,,,,
Meraker,https://www.crunchbase.com/organization/meraker,"Artificial Intelligence (AI), Health Care, Health Diagnostics","Seocho, Seoul-t'ukpyolsi, South Korea",Meraker is a developer of AI technology that provides images and assists in disease screening and diagnosis.,,2021-01-01,year,,,,,1-10,Seed,2021-12-25,Seed,,,,,,,,,,Private,,,,,,,
Deep01 Technology,https://www.crunchbase.com/organization/deep01,"Artificial Intelligence (AI), Big Data, Health Care, Machine Learning, Medical, Software","Taipei, T'ai-pei, Taiwan","FDA approval, Deep01 technology provides AI deep learning triage software system for Brain Computerized Tomography diagnosis.",,2016-01-01,year,,,,David Chou,11-50,Seed,2020-06-22,Seed,,,,,,,,,,Private,,,,,,,
Malgo,https://www.crunchbase.com/organization/malgo-fe69,"Artificial Intelligence (AI), Health Care, Health Insurance","Hangzhou, Zhejiang, China",Malgo is a health technology company that offers enterprises with integrated digital health solutions.,,2017-05-24,day,,,,"Xiao Liu, Xiaodong Wang",1-10,Seed,2018-03-15,Angel,,,,,,,,,,Private,,,,,,,
DMAI,https://www.crunchbase.com/organization/dmai,"Artificial Intelligence (AI), EdTech, Health Care","Guangzhou, Guangdong, China",Lift humanity with cognitive AI platforms,,2017-07-01,month,,,,Song-Chun Zhu,251-500,Early Stage Venture,2022-07-04,Series B,,,,,,,,,,Private,,,,,,"Engineering, Operations",6
Ai Health Highway,https://www.crunchbase.com/organization/ai-health-highway,"Artificial Intelligence (AI), Health Care, Medical, Primary and Urgent Care","Bangalore, Karnataka, India",Ai Health Highway is an AI-first company focused on making screening of chronic diseases cost-effective at primary care clinic.,,2018-01-01,year,,,,,1-10,Seed,2020-08-06,Pre-Seed,,,,,,,,,,Private,,,,,,,2
Qritive,https://www.crunchbase.com/organization/qritive,"Artificial Intelligence (AI), Biotechnology, Health Care, Information Technology, Oncology, Software","Singapore, Central Region, Singapore","Qritive makes cancer diagnosis fast, cheap, and accurate.",,2017-09-04,day,,,,"Aneesh Sathe, Kaveh Taghipour",11-50,Early Stage Venture,2023-01-09,Series A,,,,,,,,,,Private,,,,,,,3
CVAid Medical,https://www.crunchbase.com/organization/cvaid-medical,"Artificial Intelligence (AI), Health Care, Medical Device, Software","Tel Aviv-yafo, Tel Aviv, Israel",CVAid Medical develops an innovative AI based stroke detection technological platform.,,2018-01-01,day,,,,"Danny Farin, Nadav Eichler, Oren Dror, Rotem Sivan-Hoffmann, Shmuel Raz",1-10,Early Stage Venture,2022-02-28,Series A,,,,,,,,,,Private,,,,,,,1
Carepay - Care fintech solution,https://www.crunchbase.com/organization/carepay-care-fintech-solution,"Artificial Intelligence (AI), Blockchain, Cryptocurrency, FinTech, Health Care, Information Technology","Ulaanbaatar, Ulaanbaatar, Mongolia","Carepay is a Care fintech solution that aims to provide equal, accessible and affordable healthcare services to all individuals",,2022-10-01,day,,,,"Adiyatumur Terbish, Adiyatumur Terbish",11-50,Seed,2022-11-01,Pre-Seed,,,,,,,,,,Private,,,,,,,
GOFA INTERNATIONAL,https://www.crunchbase.com/organization/gofa-international,"Artificial Intelligence (AI), EdTech, Fitness, Machine Learning, Personal Health, Wellness","Hong Kong, Hong Kong Island, Hong Kong",A leader in AI-powered Fitness & Education Technology.,,2021-01-01,year,,,,"Andy Chang, CP Tam, Wayne Chung",51-100,Seed,2021-04-01,Seed,,,,,,,,,,Private,,,,,,,
Quris,https://www.crunchbase.com/organization/quris-technologies,"Artificial Intelligence (AI), Biotechnology, Health Care, Pharmaceutical, Robotics","Tel Aviv, Tel Aviv, Israel",Quris provides an artificial intelligence platform that predicts which drug candidates will safely work in humans.,,2019-01-01,year,,,,"Isaac Bentwich, Yossi Haran",11-50,Seed,2022-12-20,Seed,,,,,,,,,,Private,,,,,,"Engineering, Human Resources, Information Technology",6
getwell,https://www.crunchbase.com/organization/getwell-ad48,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical","Nanshanqu, Guangdong, China",getwell focuses on the research and application of artificial intelligence technology in the field of health care.,,2015-09-25,day,,,,,11-50,Early Stage Venture,2018-07-03,Series A,,,,,,,,,,Private,,,,,,,
EyeKnow AI,https://www.crunchbase.com/organization/eyeknow-ai,"Artificial Intelligence (AI), Child Care, Elder Care, Health Care","Haifa, Hefa, Israel",EyeKnow keeps helpless under care safe 24/7 using AI.,,2021-06-01,month,,,,"Eliya Shtraser, Tomer Sagi",1-10,Seed,2022-10-01,Pre-Seed,,,,,,,,,,Private,,,,,,,
ATMAN,https://www.crunchbase.com/organization/atman-9990,"Artificial Intelligence (AI), Health Care, Medical","Beijing, Beijing, China",Altman is an artificial intelligence company for the medical field.,,2016-01-01,day,,,,"Lei Ma, Wei Liu, Xiaofeng Ruan",11-50,Early Stage Venture,2017-09-01,Series A,,,,,,,,,,Private,,,,,,,
HappyDural,https://www.crunchbase.com/organization/happydural,"Artificial Intelligence (AI), Health Care","Tel Aviv, Tel Aviv, Israel",AI-based System for Personalized Anesthesia Management,,2021-01-01,month,,,,Shay Halamish,1-10,Seed,2021-02-01,Pre-Seed,,,,,,,,,,Private,,,,,,,
Cogniant,https://www.crunchbase.com/organization/cogniant,"Artificial Intelligence (AI), Health Care, InsurTech, Machine Learning, Medical, Mental Health","Singapore, Central Region, Singapore",Cogniant is an AI-assisted digital health platform for monitoring chronic and mental health conditions.,,2015-01-01,year,,,,"Mairin Reid, Neeraj Kothari",1-10,Seed,2021-01-10,Pre-Seed,,,,,,,,,,Private,,,,,,Human Resources,1
AIHealthX,https://www.crunchbase.com/organization/aihealthx,"Artificial Intelligence (AI), Health Care, Medical","Haidian, Beijing, China",AIHealthX focuses on providing medical AI technology and for the medical industry.,,2016-12-30,day,,,,Tao Wei,11-50,Seed,2018-01-05,Angel,,,,,,,,,,Private,,,,,,,
vivaLAB,https://www.crunchbase.com/organization/vivalab,"Artificial Intelligence (AI), Biopharma, Dietary Supplements, Health Care","Melbourne, Victoria, Australia",AI driven personal health data platform,,2020-11-01,month,,,,"Andrew O'Brien, Rocco Iannello",1-10,Seed,2022-02-15,Pre-Seed,,,,,,,,,,Private,,,,,,,
Joinhealth Technology,https://www.crunchbase.com/organization/joinhealth-technology,"Artificial Intelligence (AI), Health Care, Medical, Wellness","Hangzhou, Zhejiang, China",Joinhealth Technology is a Healthcare company.,,2015-01-01,year,,,,Jian Wang,101-250,Early Stage Venture,2019-07-25,Series A,,,,,,,,,,Private,,,,,,,
Semacare,https://www.crunchbase.com/organization/semacare,"Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Medical","Shenzhen, Guangdong, China",Semacare mainly provides products for heart AI real-time care,,2014-11-04,day,,,,"Boyang Wang, Roger Luo",11-50,Seed,2019-03-06,Seed,,,,,,,,,,Private,,,,,,Management,1
Zhen Health,https://www.crunchbase.com/organization/zhen-health,"Artificial Intelligence (AI), Health Care, Internet","Haidian, Beijing, China","Zhen Health is a internet medical company focused on the field of ophthalmology by using AI, big data, cloud computing, and internet.",,2015-12-01,month,,,,,11-50,Early Stage Venture,2022-01-01,Series B,,,,,,,,,,Private,,,,,,,
InteliCare,https://www.crunchbase.com/organization/intelicare,"Analytics, Apps, Artificial Intelligence (AI), Hardware, Health Care, Machine Learning, Nursing and Residential Care, Predictive Analytics, Sensor, Smart Home","Perth, Western Australia, Australia",InteliCare has commercialized a predictive analytics engine hardware and software system for use in the aged care and health industries.,,2016-01-01,year,,,,,11-50,IPO,2021-05-25,Grant,,,,,,,,,,Public,2020-05-25,,,,,,1
Engender Technologies,https://www.crunchbase.com/organization/engender-technology,"Artificial Intelligence (AI), Biotechnology, Genetics, Health Care, Information Technology, Medical","Auckland, Auckland, New Zealand",Engender Technologies is developed a technology to separate X- and Y-bearing bull sperm cells.,,2011-06-01,month,,,,"Brent Ogilvie, Cather Simpson",11-50,,2018-11-01,Venture - Series Unknown,,,,,,,,,,Private,,,,,,"Engineering, Operations",3
CoTreat,https://www.crunchbase.com/organization/cotreat,"Artificial Intelligence (AI), Dental, Health Diagnostics","Melbourne, Victoria, Australia",CoTreat is an AI diagnostics platform for dentistry.,,2020-01-07,day,,,,,11-50,Seed,2022-05-03,Pre-Seed,,,,,,,,,,Private,,,,,,,1
Lingyi Zhihui,https://www.crunchbase.com/organization/zuoshouyisheng,"Artificial Intelligence (AI), Health Care","Beijing, Beijing, China",Zuoshouyisheng is an AI healthcare system developer.,,2015-01-01,year,,,,Chao Zhang,,Early Stage Venture,2021-08-25,Series B,,,,,,,,,,Private,,,,,,,
Huiyi Huiying,https://www.crunchbase.com/organization/huiyihuiying,"Artificial Intelligence (AI), Big Data, Cloud Computing, Health Care, Hospital, Medical, Medical Device","Beijing, Beijing, China",Huiyi Huiying is an international cloud computing & AI tech that has created a digital medical imaging and tumor radiotherapy platform.,,2015-01-01,year,,,,Xiangfei Chai,11-50,,2018-11-07,Corporate Round,,,,,,,,,,Private,,,,,,,
CATMOS,https://www.crunchbase.com/organization/ujura-company,"Artificial Intelligence (AI), Health Care, Machine Learning, Pet, Software","Daegu, Taegu-jikhalsi, South Korea",Catmos is an AI-based health monitoring system that checks the activity of cats.,,2018-10-29,day,,,,"Jongwoo Park, Yongju Shim",1-10,Seed,2020-08-24,Pre-Seed,,,,,,,,,,Private,,,,,,,
Trainizi,https://www.crunchbase.com/organization/izi-company-limited,"Artificial Intelligence (AI), Corporate Training, E-Learning, Employment, Enterprise Applications, Health Care, Human Resources, Mobile Apps, Skill Assessment","Ho Chi Minh City, NA - Vietnam, Vietnam",Trainizi leverages interactive technologies & proprietary AI to Upskill and Facilitate Quality Job Opportunities for deskless employees.,,2021-02-01,day,,,,"Heath Nguyen, Laura Phan",1-10,Seed,2024-02-19,Pre-Seed,,,,,,,,,,Private,,,,,,,
MST Medical Surgery Technologies,https://www.crunchbase.com/organization/mst,"Analytics, Artificial Intelligence (AI), Health Care, Machine Learning, Medical, Medical Device, Robotics","Yoqne`am `illit, HaZafon, Israel","Surgical analytics, image analytics, for medical robotics and computer-assisted surgery (MRCAS)",,2005-01-01,year,,,,"Moti Sholev, Ziv Tamir",11-50,M&A,2015-07-01,Series C,MST Medical Surgery Technologies acquired by Asensus Surgical,https://www.crunchbase.com/acquisition/transenterix-acquires-mst--c09b11b8,Asensus Surgical,https://www.crunchbase.com/organization/transenterix,2018-09-23,day,,,,Private,,,,,,,
Emerge,https://www.crunchbase.com/organization/emerge-4,"Artificial Intelligence (AI), Consumer, E-Commerce, FinTech, Health Care, Mobile Apps, Retail, SaaS, Software","Tel Aviv, Tel Aviv, Israel","Tel Aviv. Venture, Early. Win",,2015-01-01,year,34,1,4,Dovi Ollech,1-10,,,,,,,,,,,,,Private,,,,,,Operations,4
Replikr Technologies,https://www.crunchbase.com/organization/replikr-digital-humans,"Artificial Intelligence (AI), Health Care","Auckland, Auckland, New Zealand",Replikr helps healthcare providers use conversational AI for smarter interactions with their patients and teams.,,2020-04-14,day,,,,Dr Peter Catt,11-50,Seed,2020-04-14,Seed,,,,,,,,,,Private,,,,,,,
Smilo.AI,https://www.crunchbase.com/organization/smilo-ai,"Artificial Intelligence (AI), Computer Vision, Dental, Health Care, Home Health Care, Medical, Mobile Apps","Brisbane, Queensland, Australia",Smilo.AI uses artificial intelligence and smartphone technology to monitor and identify oral health diseases and design Smiles instantly.,,2019-09-01,day,,,,Dr Padma Gadiyar,1-10,Seed,2021-11-16,Non-equity Assistance,,,,,,,,,,Private,,,,,,,
Zini,https://www.crunchbase.com/organization/zini,"Artificial Intelligence (AI), Health Care, Wellness","New Delhi, Delhi, India",Zini is an AI-powered multilingual virtual physician.,,2017-01-01,year,,,,Rohit Sharma,101-250,Seed,2021-10-28,Seed,,,,,,,,,,Private,,,,,,,
Allgsight,https://www.crunchbase.com/organization/allgsight,"Artificial Intelligence (AI), Health Care, Information Technology, Machine Learning, Software","Suzhou, Jiangsu, China",Allgsight is an AR smart glasses developer.,,2018-03-01,month,,,,Fei Gao,11-50,Seed,2019-04-19,Angel,,,,,,,,,,Private,,,,,,,
Tiv.ai,https://www.crunchbase.com/organization/tiv-ai,"Artificial Intelligence (AI), Computer, Health Care, Machine Learning, Software, Virtual Assistant","Tel Aviv, Tel Aviv, Israel",Tiv.ai's aim to balance our daily mental overload and help families live a more peaceful and productive life.,,2017-01-01,day,,,,"Adi Berger, Assaf Elovic, Etay Kashtan, Nofar Albarak",11-50,Seed,2017-01-02,Seed,,,,,,,,,,Private,,,,,,,
CaloSense,https://www.crunchbase.com/organization/calosense,"Artificial Intelligence (AI), Health Care, Health Diagnostics, Medical Device, Mobile Apps","Netanya, HaMerkaz, Israel",CaloSense develops the AI-based digital clinical platform that offers bariatric patients ongoing health advice and remote support.,,2020-01-01,year,,,,"Alon Ezra, Nitzan Shenhar",11-50,Seed,2022-03-28,Pre-Seed,,,,,,,,,,Private,,,,,,,
Genomics AI,https://www.crunchbase.com/organization/genomics-ai,"Artificial Intelligence (AI), Health Care, Precision Medicine, Predictive Analytics","Bangalore, Karnataka, India",Genomics AI is a precision medicine company offering gamified blueprints to meet your health goals personalized by your genes.,,2019-06-18,day,,,,Anne Wojcicki,1-10,,2020-05-04,Debt Financing,,,,,,,,,,Private,,,,,,,
Annet Information System,https://www.crunchbase.com/organization/annet-information-system,"Artificial Intelligence (AI), Health Care, Information Technology, Medical, Software","Nanshan, Hunan, China",Annet Information System is a medical information solutions provider,,2006-01-01,year,,,,,11-50,Late Stage Venture,2019-03-19,Series C,,,,,,,,,,Private,,,,,,,
iHeal HealthTech,https://www.crunchbase.com/organization/medsamaan,"Artificial Intelligence (AI), Health Care, Medical, Medical Device, Wellness","Shimla, Himachal Pradesh, India",Revolutionizing Healthcare: Creating Innovative Solutions through Digital Transformation,,2017-07-01,day,,,,"Nilashis Roy, Romita Ghosh",1-10,Seed,2021-09-27,Grant,,,,,,,,,,Private,,,,,,,
URay,https://www.crunchbase.com/organization/uray,"Artificial Intelligence (AI), Hardware, Health Diagnostics, Medical Device, Mobile Apps","Singapore, Central Region, Singapore",AI and photonics based MedTech solutions,,2021-07-01,month,,,,"Andrey Grunin, Igor Balashov",1-10,Seed,2021-07-15,Pre-Seed,,,,,,,,,,Private,,,,,,,
Wingspan,https://www.crunchbase.com/organization/wingspan-fb3e,"Artificial Intelligence (AI), Biotechnology, Health Care, Medical","Beijing, Beijing, China",Wingspan provides medical imaging solutions.,,2009-05-31,day,,,,,101-250,Late Stage Venture,2018-02-11,Series C,,,,,,,,,,Private,,,,,,,
